Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,,,2012/13,4.253380524,4.247437366,4.259329726,4.244014459,4.262765098,1881631,44238482.53,There is a data quality issue with this value,,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Most deprived decile (IMD2019),2012/13,4.22160368687952,4.20252121070543,4.24076897550517,4.19155432759259,4.25185891051036,179295,4247082.7036,"Should be treated with caution, as it contains areas for which values have not been presented due to Nottingham University Hospitals Trust coding over 30% of HES records without valid geography of residence in 2016/17",,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Second most deprived decile (IMD2019),2012/13,4.33004868289879,4.30616724995793,4.35405653295146,4.29245266493363,4.36795896226726,120183,2775557.7085,Aggregated from all known lower geography values,,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Third more deprived decile (IMD2019),2012/13,3.95210708476455,3.93263414392035,3.97167246200019,3.92144644307243,3.98299751502002,151259,3827300.1403,Aggregated from all known lower geography values,,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fourth more deprived decile (IMD2019),2012/13,3.80636094635281,3.78665666685363,3.82616368171692,3.77533828080145,3.83762836431519,137207,3604676.5384,Aggregated from all known lower geography values,,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fifth more deprived decile (IMD2019),2012/13,4.10318215698485,4.08421890724206,4.12222967005855,4.07332143477752,4.13325235028814,171708,4184752.0639,Aggregated from all known lower geography values,,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fifth less deprived decile (IMD2019),2012/13,4.54009531463635,4.52094574428413,4.55932212437455,4.50993764862766,4.57044499086231,205296,4521843.39254216,Aggregated from all known lower geography values,,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fourth less deprived decile (IMD2019),2012/13,4.9477198962299,4.93008297945521,4.96541661208015,4.91993929578733,4.97564915187624,286387,5788262.189584,"Should be treated with caution, as it contains areas for which values have not been presented due to Nottingham University Hospitals Trust coding over 30% of HES records without valid geography of residence in 2016/17",,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Third less deprived decile (IMD2019),2012/13,4.34669194400091,4.32955521803845,4.36389340457812,4.31970221555657,4.37384259695132,235516,5418281.3743,Aggregated from all known lower geography values,,Not compared,Not compared,20120000,,,1y
258,CKD: QOF prevalence,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Second least deprived decile (IMD2019),2012/13,4.14559176445857,4.13022628879404,4.16101192248932,4.12139016875595,4.16992929569251,267083,6442578.41039208,Aggregated from all known lower geography values,,Not compared,Not compared,20120000,,,1y
